Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.37, x: -271910.72, y: 1338.23, z: 674901.56, pitch: 2.37, bank: -0.00, yaw: 193.25 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.37, x: -271913.95, y: 1338.23, z: 674900.80, pitch: 2.37, bank: -0.00, yaw: 193.25 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.37, x: -271918.46, y: 1338.23, z: 674899.74, pitch: 2.35, bank: 0.02, yaw: 193.24 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1338.23, speed(m/s): 208.68, heading: 3.37, x: -271924.27, y: 1338.23, z: 674898.37, pitch: 2.28, bank: 0.08, yaw: 193.23 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1338.23, speed(m/s): 208.61, heading: 3.37, x: -271934.15, y: 1338.23, z: 674896.04, pitch: 2.11, bank: 0.29, yaw: 193.17 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 208.58, heading: 3.37, x: -271937.81, y: 1338.23, z: 674895.18, pitch: 2.04, bank: 0.39, yaw: 193.14 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1338.23, speed(m/s): 208.55, heading: 3.37, x: -271941.03, y: 1338.23, z: 674894.42, pitch: 2.00, bank: 0.46, yaw: 193.11 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1338.23, speed(m/s): 208.55, heading: 3.37, x: -271944.03, y: 1338.23, z: 674893.71, pitch: 1.97, bank: 0.54, yaw: 193.09 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1338.23, speed(m/s): 208.51, heading: 3.37, x: -271947.26, y: 1338.23, z: 674892.95, pitch: 1.91, bank: 0.65, yaw: 193.04 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1338.23, speed(m/s): 208.48, heading: 3.37, x: -271950.69, y: 1338.23, z: 674892.13, pitch: 1.87, bank: 0.77, yaw: 193.00 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1338.22, speed(m/s): 208.45, heading: 3.37, x: -271953.91, y: 1338.22, z: 674891.37, pitch: 1.84, bank: 0.85, yaw: 192.97 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1338.22, speed(m/s): 208.45, heading: 3.37, x: -271957.34, y: 1338.22, z: 674890.56, pitch: 1.80, bank: 0.96, yaw: 192.93 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1338.21, speed(m/s): 208.41, heading: 3.37, x: -271960.78, y: 1338.21, z: 674889.75, pitch: 1.77, bank: 1.03, yaw: 192.90 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1338.21, speed(m/s): 208.38, heading: 3.37, x: -271964.00, y: 1338.21, z: 674888.99, pitch: 1.74, bank: 1.13, yaw: 192.85 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.20, speed(m/s): 208.35, heading: 3.36, x: -271967.64, y: 1338.20, z: 674888.12, pitch: 1.71, bank: 1.23, yaw: 192.81 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1338.19, speed(m/s): 208.30, heading: 3.36, x: -271971.07, y: 1338.19, z: 674887.31, pitch: 1.69, bank: 1.29, yaw: 192.78 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1338.18, speed(m/s): 208.30, heading: 3.36, x: -271974.08, y: 1338.18, z: 674886.60, pitch: 1.66, bank: 1.37, yaw: 192.74 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1338.18, speed(m/s): 208.27, heading: 3.36, x: -271977.51, y: 1338.17, z: 674885.79, pitch: 1.64, bank: 1.42, yaw: 192.72 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 1338.16, speed(m/s): 208.24, heading: 3.36, x: -271981.37, y: 1338.16, z: 674884.88, pitch: 1.61, bank: 1.49, yaw: 192.68 Emitters.Mode: 0 
