Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.01, x: -298163.25, y: 1338.23, z: 687962.38, pitch: 2.37, bank: -0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.01, x: -298162.80, y: 1338.23, z: 687960.89, pitch: 2.37, bank: 0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.00, x: -298161.72, y: 1338.23, z: 687957.30, pitch: 2.36, bank: 0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 1338.23, speed(m/s): 206.41, heading: 5.00, x: -298159.87, y: 1338.23, z: 687951.16, pitch: 2.32, bank: 0.03, yaw: 286.78 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 1338.23, speed(m/s): 202.64, heading: 5.00, x: -298156.87, y: 1338.23, z: 687941.23, pitch: 2.17, bank: 0.14, yaw: 286.75 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1338.23, speed(m/s): 202.64, heading: 5.00, x: -298155.98, y: 1338.23, z: 687938.27, pitch: 2.10, bank: 0.19, yaw: 286.73 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 202.61, heading: 5.00, x: -298155.02, y: 1338.23, z: 687935.10, pitch: 2.06, bank: 0.24, yaw: 286.72 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1338.23, speed(m/s): 202.59, heading: 5.00, x: -298154.00, y: 1338.22, z: 687931.72, pitch: 2.01, bank: 0.30, yaw: 286.70 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1338.22, speed(m/s): 202.55, heading: 5.00, x: -298152.98, y: 1338.22, z: 687928.33, pitch: 1.98, bank: 0.35, yaw: 286.68 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1338.22, speed(m/s): 202.55, heading: 5.00, x: -298152.09, y: 1338.22, z: 687925.38, pitch: 1.93, bank: 0.42, yaw: 286.66 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1338.21, speed(m/s): 202.52, heading: 5.00, x: -298151.07, y: 1338.21, z: 687922.00, pitch: 1.90, bank: 0.47, yaw: 286.64 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1338.21, speed(m/s): 202.49, heading: 5.00, x: -298150.05, y: 1338.21, z: 687918.62, pitch: 1.86, bank: 0.54, yaw: 286.61 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1338.20, speed(m/s): 202.45, heading: 5.00, x: -298149.03, y: 1338.20, z: 687915.24, pitch: 1.82, bank: 0.61, yaw: 286.58 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1338.19, speed(m/s): 202.45, heading: 5.00, x: -298148.01, y: 1338.19, z: 687911.86, pitch: 1.80, bank: 0.65, yaw: 286.56 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1338.18, speed(m/s): 202.42, heading: 5.00, x: -298146.99, y: 1338.18, z: 687908.49, pitch: 1.77, bank: 0.71, yaw: 286.54 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.17, speed(m/s): 202.39, heading: 5.00, x: -298145.96, y: 1338.17, z: 687905.11, pitch: 1.74, bank: 0.77, yaw: 286.51 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1338.17, speed(m/s): 202.34, heading: 5.00, x: -298144.94, y: 1338.16, z: 687901.73, pitch: 1.72, bank: 0.81, yaw: 286.49 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1338.15, speed(m/s): 202.31, heading: 5.00, x: -298143.99, y: 1338.15, z: 687898.57, pitch: 1.69, bank: 0.86, yaw: 286.47 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1338.14, speed(m/s): 202.31, heading: 5.00, x: -298143.03, y: 1338.14, z: 687895.41, pitch: 1.68, bank: 0.89, yaw: 286.45 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 1338.13, speed(m/s): 202.28, heading: 5.00, x: -298141.95, y: 1338.13, z: 687891.82, pitch: 1.65, bank: 0.93, yaw: 286.43 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1338.11, speed(m/s): 202.24, heading: 5.00, x: -298140.99, y: 1338.11, z: 687888.66, pitch: 1.63, bank: 0.97, yaw: 286.41 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 1338.10, speed(m/s): 202.20, heading: 5.00, x: -298140.04, y: 1338.10, z: 687885.49, pitch: 1.62, bank: 1.00, yaw: 286.39 Emitters.Mode: 0 
