Player: t: 0.00, MSLAlt: 695.66, speed(m/s): 247.84, heading: 9.37, x: -272959.00, y: 695.66, z: 674593.25, pitch: 1.65, bank: -0.00, yaw: 536.73 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 695.66, speed(m/s): 247.84, heading: 3.08, x: -272961.05, y: 695.66, z: 674593.37, pitch: 1.65, bank: 0.02, yaw: 176.70 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 695.66, speed(m/s): 247.84, heading: 3.08, x: -272965.93, y: 695.66, z: 674593.65, pitch: 1.64, bank: 0.02, yaw: 176.70 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 695.66, speed(m/s): 247.80, heading: 3.08, x: -272972.85, y: 695.66, z: 674594.05, pitch: 1.56, bank: 0.02, yaw: 176.70 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 695.65, speed(m/s): 249.76, heading: 3.08, x: -272985.15, y: 695.65, z: 674594.76, pitch: 1.40, bank: 0.03, yaw: 176.70 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 695.65, speed(m/s): 249.76, heading: 3.08, x: -272988.99, y: 695.65, z: 674594.98, pitch: 1.36, bank: 0.03, yaw: 176.70 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 695.64, speed(m/s): 249.71, heading: 3.08, x: -272993.09, y: 695.64, z: 674595.22, pitch: 1.32, bank: 0.04, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 695.64, speed(m/s): 249.65, heading: 3.08, x: -272996.93, y: 695.64, z: 674595.44, pitch: 1.29, bank: 0.04, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 695.63, speed(m/s): 249.58, heading: 3.08, x: -273001.03, y: 695.63, z: 674595.68, pitch: 1.25, bank: 0.05, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 695.63, speed(m/s): 249.58, heading: 3.08, x: -273004.61, y: 695.62, z: 674595.89, pitch: 1.23, bank: 0.05, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 695.62, speed(m/s): 249.52, heading: 3.08, x: -273008.45, y: 695.62, z: 674596.11, pitch: 1.21, bank: 0.05, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 695.61, speed(m/s): 249.46, heading: 3.08, x: -273012.54, y: 695.61, z: 674596.35, pitch: 1.19, bank: 0.05, yaw: 176.69 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 695.60, speed(m/s): 249.38, heading: 3.08, x: -273016.38, y: 695.60, z: 674596.57, pitch: 1.17, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 695.58, speed(m/s): 249.32, heading: 3.08, x: -273020.73, y: 695.58, z: 674596.82, pitch: 1.15, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 695.57, speed(m/s): 249.32, heading: 3.08, x: -273024.56, y: 695.57, z: 674597.04, pitch: 1.14, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 695.56, speed(m/s): 249.26, heading: 3.08, x: -273028.40, y: 695.56, z: 674597.26, pitch: 1.12, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 695.55, speed(m/s): 249.19, heading: 3.08, x: -273032.49, y: 695.54, z: 674597.50, pitch: 1.11, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 695.53, speed(m/s): 249.13, heading: 3.08, x: -273036.58, y: 695.52, z: 674597.74, pitch: 1.09, bank: 0.06, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 695.51, speed(m/s): 249.13, heading: 3.08, x: -273040.41, y: 695.51, z: 674597.96, pitch: 1.08, bank: 0.07, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 695.49, speed(m/s): 249.07, heading: 3.08, x: -273044.49, y: 695.49, z: 674598.19, pitch: 1.07, bank: 0.07, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 695.47, speed(m/s): 248.99, heading: 3.08, x: -273048.33, y: 695.47, z: 674598.42, pitch: 1.06, bank: 0.07, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 695.46, speed(m/s): 248.93, heading: 3.08, x: -273052.16, y: 695.45, z: 674598.64, pitch: 1.05, bank: 0.07, yaw: 176.68 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 695.43, speed(m/s): 248.87, heading: 3.08, x: -273056.24, y: 695.43, z: 674598.87, pitch: 1.04, bank: 0.07, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 695.42, speed(m/s): 248.87, heading: 3.08, x: -273060.07, y: 695.41, z: 674599.09, pitch: 1.03, bank: 0.07, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 695.39, speed(m/s): 248.79, heading: 3.08, x: -273063.64, y: 695.39, z: 674599.30, pitch: 1.01, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 695.36, speed(m/s): 248.74, heading: 3.08, x: -273068.49, y: 695.36, z: 674599.58, pitch: 1.00, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 695.34, speed(m/s): 248.68, heading: 3.08, x: -273072.06, y: 695.33, z: 674599.79, pitch: 0.99, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 695.31, speed(m/s): 248.68, heading: 3.08, x: -273076.14, y: 695.31, z: 674600.02, pitch: 0.98, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.47, MSLAlt: 695.28, speed(m/s): 248.60, heading: 3.08, x: -273080.47, y: 695.28, z: 674600.27, pitch: 0.97, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 695.26, speed(m/s): 248.54, heading: 3.08, x: -273083.79, y: 695.25, z: 674600.47, pitch: 0.96, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 695.22, speed(m/s): 248.48, heading: 3.08, x: -273088.12, y: 695.22, z: 674600.72, pitch: 0.95, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 695.20, speed(m/s): 248.41, heading: 3.08, x: -273092.19, y: 695.19, z: 674600.95, pitch: 0.94, bank: 0.06, yaw: 176.67 Emitters.Mode: 0 
