Player: t: 0.00, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302927.78, y: 1279.81, z: 678108.13, pitch: 1.74, bank: -0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302926.51, y: 1279.81, z: 678106.85, pitch: 1.74, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302922.71, y: 1279.81, z: 678103.03, pitch: 1.73, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 1279.81, speed(m/s): 240.80, heading: 5.50, x: -302918.00, y: 1279.81, z: 678098.29, pitch: 1.67, bank: 0.01, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.09, MSLAlt: 1279.80, speed(m/s): 236.67, heading: 5.50, x: -302911.84, y: 1279.80, z: 678092.10, pitch: 1.56, bank: 0.02, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 1279.80, speed(m/s): 236.61, heading: 5.50, x: -302909.12, y: 1279.80, z: 678089.37, pitch: 1.51, bank: 0.02, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1279.80, speed(m/s): 236.61, heading: 5.50, x: -302906.41, y: 1279.80, z: 678086.64, pitch: 1.47, bank: 0.03, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1279.79, speed(m/s): 236.57, heading: 5.50, x: -302903.69, y: 1279.79, z: 678083.92, pitch: 1.43, bank: 0.04, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1279.79, speed(m/s): 236.52, heading: 5.50, x: -302900.80, y: 1279.79, z: 678081.01, pitch: 1.40, bank: 0.04, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1279.78, speed(m/s): 236.46, heading: 5.49, x: -302897.90, y: 1279.78, z: 678078.10, pitch: 1.36, bank: 0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1279.77, speed(m/s): 236.41, heading: 5.49, x: -302895.01, y: 1279.77, z: 678075.19, pitch: 1.33, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1279.77, speed(m/s): 236.41, heading: 5.49, x: -302892.29, y: 1279.76, z: 678072.46, pitch: 1.31, bank: 0.07, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1279.75, speed(m/s): 236.36, heading: 5.49, x: -302889.40, y: 1279.75, z: 678069.55, pitch: 1.28, bank: 0.08, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1279.75, speed(m/s): 236.29, heading: 5.49, x: -302886.87, y: 1279.74, z: 678067.01, pitch: 1.27, bank: 0.08, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1279.73, speed(m/s): 236.24, heading: 5.49, x: -302883.98, y: 1279.73, z: 678064.11, pitch: 1.25, bank: 0.09, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1279.72, speed(m/s): 236.24, heading: 5.49, x: -302881.27, y: 1279.72, z: 678061.38, pitch: 1.24, bank: 0.10, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1279.71, speed(m/s): 236.19, heading: 5.49, x: -302878.38, y: 1279.70, z: 678058.48, pitch: 1.22, bank: 0.10, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1279.69, speed(m/s): 236.13, heading: 5.49, x: -302875.48, y: 1279.69, z: 678055.57, pitch: 1.20, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1279.68, speed(m/s): 236.08, heading: 5.49, x: -302872.59, y: 1279.67, z: 678052.67, pitch: 1.19, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1279.66, speed(m/s): 236.08, heading: 5.49, x: -302870.07, y: 1279.65, z: 678050.13, pitch: 1.18, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1279.64, speed(m/s): 236.03, heading: 5.49, x: -302867.18, y: 1279.63, z: 678047.22, pitch: 1.17, bank: 0.12, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1279.62, speed(m/s): 235.96, heading: 5.49, x: -302864.11, y: 1279.61, z: 678044.14, pitch: 1.15, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 1279.59, speed(m/s): 235.91, heading: 5.49, x: -302861.58, y: 1279.59, z: 678041.60, pitch: 1.14, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 1279.58, speed(m/s): 235.86, heading: 5.49, x: -302858.87, y: 1279.57, z: 678038.88, pitch: 1.13, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 1279.55, speed(m/s): 235.86, heading: 5.49, x: -302855.63, y: 1279.55, z: 678035.62, pitch: 1.12, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 1279.53, speed(m/s): 235.79, heading: 5.49, x: -302853.28, y: 1279.53, z: 678033.26, pitch: 1.11, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 1279.51, speed(m/s): 235.74, heading: 5.49, x: -302850.40, y: 1279.50, z: 678030.36, pitch: 1.09, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 1279.49, speed(m/s): 235.69, heading: 5.49, x: -302847.69, y: 1279.48, z: 678027.64, pitch: 1.09, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 1279.46, speed(m/s): 235.69, heading: 5.49, x: -302844.99, y: 1279.45, z: 678024.92, pitch: 1.07, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.47, MSLAlt: 1279.42, speed(m/s): 235.63, heading: 5.49, x: -302842.10, y: 1279.42, z: 678022.02, pitch: 1.06, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 1279.40, speed(m/s): 235.58, heading: 5.49, x: -302839.22, y: 1279.40, z: 678019.13, pitch: 1.05, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 1279.37, speed(m/s): 235.53, heading: 5.49, x: -302836.33, y: 1279.36, z: 678016.23, pitch: 1.04, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 1279.33, speed(m/s): 235.46, heading: 5.49, x: -302833.45, y: 1279.33, z: 678013.33, pitch: 1.03, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.54, MSLAlt: 1279.31, speed(m/s): 235.46, heading: 5.49, x: -302830.57, y: 1279.30, z: 678010.44, pitch: 1.02, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.55, MSLAlt: 1279.27, speed(m/s): 235.41, heading: 5.49, x: -302827.69, y: 1279.27, z: 678007.54, pitch: 1.01, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 1279.25, speed(m/s): 235.36, heading: 5.49, x: -302824.99, y: 1279.24, z: 678004.83, pitch: 1.00, bank: 0.12, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.58, MSLAlt: 1279.21, speed(m/s): 235.30, heading: 5.49, x: -302822.11, y: 1279.20, z: 678001.93, pitch: 0.99, bank: 0.11, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.60, MSLAlt: 1279.17, speed(m/s): 235.25, heading: 5.49, x: -302819.41, y: 1279.17, z: 677999.22, pitch: 0.98, bank: 0.11, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.61, MSLAlt: 1279.14, speed(m/s): 235.25, heading: 5.49, x: -302816.71, y: 1279.13, z: 677996.50, pitch: 0.97, bank: 0.11, yaw: 314.81 Emitters.Mode: 0 
Player: t: 0.63, MSLAlt: 1279.09, speed(m/s): 235.20, heading: 5.49, x: -302813.65, y: 1279.09, z: 677993.43, pitch: 0.96, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.65, MSLAlt: 1279.07, speed(m/s): 235.14, heading: 5.49, x: -302810.95, y: 1279.05, z: 677990.72, pitch: 0.95, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.66, MSLAlt: 1279.02, speed(m/s): 235.09, heading: 5.49, x: -302808.43, y: 1279.02, z: 677988.19, pitch: 0.94, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.68, MSLAlt: 1278.97, speed(m/s): 235.09, heading: 5.49, x: -302805.37, y: 1278.97, z: 677985.11, pitch: 0.93, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.69, MSLAlt: 1278.94, speed(m/s): 235.04, heading: 5.49, x: -302802.68, y: 1278.94, z: 677982.40, pitch: 0.93, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.71, MSLAlt: 1278.90, speed(m/s): 234.98, heading: 5.49, x: -302799.98, y: 1278.90, z: 677979.69, pitch: 0.92, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.72, MSLAlt: 1278.86, speed(m/s): 234.93, heading: 5.49, x: -302797.10, y: 1278.85, z: 677976.80, pitch: 0.91, bank: 0.11, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.74, MSLAlt: 1278.81, speed(m/s): 234.93, heading: 5.49, x: -302794.41, y: 1278.81, z: 677974.10, pitch: 0.90, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.76, MSLAlt: 1278.76, speed(m/s): 234.88, heading: 5.49, x: -302791.35, y: 1278.76, z: 677971.03, pitch: 0.89, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.77, MSLAlt: 1278.71, speed(m/s): 234.82, heading: 5.49, x: -302788.12, y: 1278.71, z: 677967.78, pitch: 0.88, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.79, MSLAlt: 1278.67, speed(m/s): 234.77, heading: 5.49, x: -302785.78, y: 1278.67, z: 677965.43, pitch: 0.88, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.80, MSLAlt: 1278.64, speed(m/s): 234.72, heading: 5.49, x: -302783.09, y: 1278.63, z: 677962.72, pitch: 0.87, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.82, MSLAlt: 1278.58, speed(m/s): 234.72, heading: 5.49, x: -302780.22, y: 1278.58, z: 677959.83, pitch: 0.86, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.83, MSLAlt: 1278.54, speed(m/s): 234.66, heading: 5.49, x: -302777.52, y: 1278.53, z: 677957.13, pitch: 0.85, bank: 0.10, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.85, MSLAlt: 1278.49, speed(m/s): 234.61, heading: 5.49, x: -302775.01, y: 1278.48, z: 677954.60, pitch: 0.84, bank: 0.09, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.86, MSLAlt: 1278.45, speed(m/s): 234.57, heading: 5.49, x: -302772.14, y: 1278.43, z: 677951.72, pitch: 0.84, bank: 0.09, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.88, MSLAlt: 1278.39, speed(m/s): 234.57, heading: 5.49, x: -302769.45, y: 1278.38, z: 677949.01, pitch: 0.83, bank: 0.09, yaw: 314.80 Emitters.Mode: 0 
Player: t: 0.89, MSLAlt: 1278.35, speed(m/s): 234.50, heading: 5.49, x: -302766.76, y: 1278.33, z: 677946.31, pitch: 0.82, bank: 0.09, yaw: 314.80 Emitters.Mode: 0 
