Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 4.05, x: -279518.47, y: 1338.23, z: 685426.19, pitch: 2.37, bank: -0.00, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 4.05, x: -279520.09, y: 1338.23, z: 685424.09, pitch: 2.37, bank: -0.00, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1338.23, speed(m/s): 206.41, heading: 4.05, x: -279524.56, y: 1338.23, z: 685418.33, pitch: 2.34, bank: 0.04, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.07, MSLAlt: 1338.23, speed(m/s): 205.94, heading: 4.05, x: -279528.21, y: 1338.23, z: 685413.62, pitch: 2.25, bank: 0.13, yaw: 232.20 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1338.23, speed(m/s): 205.87, heading: 4.05, x: -279534.43, y: 1338.23, z: 685405.58, pitch: 2.09, bank: 0.34, yaw: 232.14 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 205.85, heading: 4.05, x: -279536.46, y: 1338.23, z: 685402.97, pitch: 2.03, bank: 0.45, yaw: 232.11 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1338.23, speed(m/s): 205.82, heading: 4.05, x: -279538.89, y: 1338.23, z: 685399.82, pitch: 1.98, bank: 0.57, yaw: 232.08 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1338.23, speed(m/s): 205.78, heading: 4.05, x: -279540.64, y: 1338.23, z: 685397.55, pitch: 1.94, bank: 0.65, yaw: 232.06 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1338.22, speed(m/s): 205.76, heading: 4.05, x: -279542.80, y: 1338.22, z: 685394.76, pitch: 1.89, bank: 0.77, yaw: 232.02 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1338.22, speed(m/s): 205.76, heading: 4.05, x: -279545.10, y: 1338.22, z: 685391.80, pitch: 1.87, bank: 0.85, yaw: 232.00 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1338.21, speed(m/s): 205.73, heading: 4.05, x: -279546.99, y: 1338.21, z: 685389.35, pitch: 1.82, bank: 0.97, yaw: 231.96 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1338.21, speed(m/s): 205.69, heading: 4.05, x: -279548.88, y: 1338.21, z: 685386.91, pitch: 1.80, bank: 1.05, yaw: 231.94 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1338.20, speed(m/s): 205.66, heading: 4.05, x: -279551.17, y: 1338.20, z: 685383.95, pitch: 1.76, bank: 1.16, yaw: 231.91 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1338.20, speed(m/s): 205.66, heading: 4.05, x: -279553.06, y: 1338.19, z: 685381.50, pitch: 1.74, bank: 1.23, yaw: 231.88 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.19, speed(m/s): 205.63, heading: 4.05, x: -279555.22, y: 1338.19, z: 685378.71, pitch: 1.71, bank: 1.34, yaw: 231.85 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1338.18, speed(m/s): 205.58, heading: 4.05, x: -279557.37, y: 1338.18, z: 685375.92, pitch: 1.68, bank: 1.43, yaw: 231.82 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1338.17, speed(m/s): 205.55, heading: 4.05, x: -279559.40, y: 1338.17, z: 685373.31, pitch: 1.66, bank: 1.49, yaw: 231.80 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1338.16, speed(m/s): 205.52, heading: 4.04, x: -279561.82, y: 1338.16, z: 685370.17, pitch: 1.64, bank: 1.58, yaw: 231.77 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1338.14, speed(m/s): 205.52, heading: 4.04, x: -279563.84, y: 1338.14, z: 685367.56, pitch: 1.61, bank: 1.66, yaw: 231.75 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1338.14, speed(m/s): 205.48, heading: 4.04, x: -279565.59, y: 1338.13, z: 685365.29, pitch: 1.60, bank: 1.71, yaw: 231.73 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 1338.13, speed(m/s): 205.44, heading: 4.04, x: -279567.75, y: 1338.12, z: 685362.50, pitch: 1.58, bank: 1.76, yaw: 231.71 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 1338.11, speed(m/s): 205.41, heading: 4.04, x: -279570.04, y: 1338.11, z: 685359.54, pitch: 1.56, bank: 1.83, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 1338.09, speed(m/s): 205.41, heading: 4.04, x: -279571.92, y: 1338.09, z: 685357.10, pitch: 1.53, bank: 1.89, yaw: 231.67 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 1338.08, speed(m/s): 205.37, heading: 4.04, x: -279573.94, y: 1338.08, z: 685354.49, pitch: 1.52, bank: 1.93, yaw: 231.66 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 1338.06, speed(m/s): 205.34, heading: 4.04, x: -279576.37, y: 1338.06, z: 685351.36, pitch: 1.50, bank: 1.98, yaw: 231.64 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 1338.05, speed(m/s): 205.30, heading: 4.04, x: -279578.25, y: 1338.04, z: 685348.92, pitch: 1.48, bank: 2.01, yaw: 231.63 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 1338.03, speed(m/s): 205.30, heading: 4.04, x: -279580.41, y: 1338.02, z: 685346.13, pitch: 1.46, bank: 2.06, yaw: 231.61 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 1338.01, speed(m/s): 205.26, heading: 4.04, x: -279582.69, y: 1338.00, z: 685343.18, pitch: 1.44, bank: 2.11, yaw: 231.60 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 1337.99, speed(m/s): 205.22, heading: 4.04, x: -279584.58, y: 1337.98, z: 685340.74, pitch: 1.43, bank: 2.14, yaw: 231.59 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 1337.97, speed(m/s): 205.19, heading: 4.04, x: -279586.73, y: 1337.96, z: 685337.95, pitch: 1.41, bank: 2.18, yaw: 231.57 Emitters.Mode: 0 
