Player: t: 0.00, MSLAlt: 1569.71, speed(m/s): 237.39, heading: 5.49, x: -305332.66, y: 1569.71, z: 686371.13, pitch: 1.79, bank: -0.00, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1569.71, speed(m/s): 237.39, heading: 5.49, x: -305331.39, y: 1569.71, z: 686369.85, pitch: 1.79, bank: 0.00, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1569.71, speed(m/s): 237.39, heading: 5.49, x: -305327.95, y: 1569.71, z: 686366.39, pitch: 1.79, bank: -0.00, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 1569.71, speed(m/s): 237.36, heading: 5.49, x: -305322.88, y: 1569.71, z: 686361.29, pitch: 1.72, bank: -0.00, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 1569.70, speed(m/s): 232.57, heading: 5.49, x: -305314.19, y: 1569.70, z: 686352.54, pitch: 1.56, bank: -0.01, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1569.70, speed(m/s): 232.57, heading: 5.49, x: -305311.84, y: 1569.70, z: 686350.18, pitch: 1.52, bank: -0.01, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1569.70, speed(m/s): 232.52, heading: 5.49, x: -305308.94, y: 1569.69, z: 686347.27, pitch: 1.49, bank: -0.02, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1569.69, speed(m/s): 232.48, heading: 5.49, x: -305305.87, y: 1569.69, z: 686344.17, pitch: 1.44, bank: -0.02, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1569.68, speed(m/s): 232.42, heading: 5.49, x: -305303.15, y: 1569.68, z: 686341.44, pitch: 1.40, bank: -0.03, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1569.68, speed(m/s): 232.42, heading: 5.49, x: -305300.26, y: 1569.68, z: 686338.53, pitch: 1.38, bank: -0.03, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1569.67, speed(m/s): 232.37, heading: 5.49, x: -305297.55, y: 1569.67, z: 686335.80, pitch: 1.35, bank: -0.04, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1569.66, speed(m/s): 232.33, heading: 5.49, x: -305294.84, y: 1569.66, z: 686333.08, pitch: 1.33, bank: -0.04, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1569.65, speed(m/s): 232.27, heading: 5.49, x: -305292.13, y: 1569.65, z: 686330.35, pitch: 1.31, bank: -0.04, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1569.64, speed(m/s): 232.22, heading: 5.49, x: -305289.06, y: 1569.64, z: 686327.26, pitch: 1.28, bank: -0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1569.63, speed(m/s): 232.22, heading: 5.50, x: -305286.35, y: 1569.62, z: 686324.53, pitch: 1.27, bank: -0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1569.61, speed(m/s): 232.17, heading: 5.50, x: -305283.46, y: 1569.61, z: 686321.62, pitch: 1.25, bank: -0.06, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1569.59, speed(m/s): 232.11, heading: 5.50, x: -305280.57, y: 1569.59, z: 686318.72, pitch: 1.23, bank: -0.06, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1569.58, speed(m/s): 232.06, heading: 5.50, x: -305277.50, y: 1569.58, z: 686315.63, pitch: 1.22, bank: -0.06, yaw: 314.87 Emitters.Mode: 0 
