Player: t: 0.00, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302927.78, y: 1279.81, z: 678108.13, pitch: 1.74, bank: -0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302924.88, y: 1279.81, z: 678105.21, pitch: 1.74, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302921.08, y: 1279.81, z: 678101.39, pitch: 1.72, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1279.81, speed(m/s): 236.72, heading: 5.50, x: -302916.37, y: 1279.81, z: 678096.65, pitch: 1.65, bank: 0.01, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1279.80, speed(m/s): 236.61, heading: 5.50, x: -302907.86, y: 1279.80, z: 678088.10, pitch: 1.49, bank: 0.03, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1279.80, speed(m/s): 236.57, heading: 5.50, x: -302904.78, y: 1279.80, z: 678085.01, pitch: 1.44, bank: 0.04, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1279.79, speed(m/s): 236.52, heading: 5.50, x: -302902.24, y: 1279.79, z: 678082.46, pitch: 1.41, bank: 0.04, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1279.78, speed(m/s): 236.52, heading: 5.49, x: -302899.35, y: 1279.78, z: 678079.55, pitch: 1.37, bank: 0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1279.78, speed(m/s): 236.46, heading: 5.49, x: -302896.27, y: 1279.78, z: 678076.46, pitch: 1.34, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1279.77, speed(m/s): 236.41, heading: 5.49, x: -302893.56, y: 1279.77, z: 678073.73, pitch: 1.32, bank: 0.07, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1279.76, speed(m/s): 236.36, heading: 5.49, x: -302890.85, y: 1279.76, z: 678071.01, pitch: 1.29, bank: 0.08, yaw: 314.85 Emitters.Mode: 0 
