Player: t: 0.00, MSLAlt: 671.73, speed(m/s): 248.13, heading: 9.16, x: -274747.25, y: 671.73, z: 666576.94, pitch: 1.64, bank: -0.00, yaw: 524.87 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 671.73, speed(m/s): 248.13, heading: 2.88, x: -274748.99, y: 671.73, z: 666577.41, pitch: 1.64, bank: -0.00, yaw: 164.84 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 671.73, speed(m/s): 248.13, heading: 2.88, x: -274753.45, y: 671.73, z: 666578.62, pitch: 1.63, bank: -0.00, yaw: 164.84 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 671.73, speed(m/s): 248.09, heading: 2.88, x: -274760.14, y: 671.73, z: 666580.43, pitch: 1.58, bank: -0.00, yaw: 164.84 Emitters.Mode: 0 
Player: t: 0.08, MSLAlt: 671.73, speed(m/s): 250.08, heading: 2.88, x: -274768.07, y: 671.73, z: 666582.58, pitch: 1.45, bank: -0.02, yaw: 164.84 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 671.73, speed(m/s): 250.08, heading: 2.88, x: -274771.79, y: 671.73, z: 666583.59, pitch: 1.41, bank: -0.02, yaw: 164.85 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 671.72, speed(m/s): 250.00, heading: 2.88, x: -274776.25, y: 671.72, z: 666584.80, pitch: 1.36, bank: -0.03, yaw: 164.85 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 671.72, speed(m/s): 249.95, heading: 2.88, x: -274780.95, y: 671.72, z: 666586.08, pitch: 1.31, bank: -0.05, yaw: 164.85 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 671.71, speed(m/s): 249.89, heading: 2.88, x: -274784.42, y: 671.71, z: 666587.02, pitch: 1.27, bank: -0.06, yaw: 164.86 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 671.71, speed(m/s): 249.82, heading: 2.88, x: -274788.13, y: 671.71, z: 666588.02, pitch: 1.25, bank: -0.06, yaw: 164.86 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 671.70, speed(m/s): 249.76, heading: 2.88, x: -274792.09, y: 671.70, z: 666589.10, pitch: 1.21, bank: -0.08, yaw: 164.86 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 671.69, speed(m/s): 249.76, heading: 2.88, x: -274795.80, y: 671.69, z: 666590.11, pitch: 1.20, bank: -0.08, yaw: 164.87 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 671.68, speed(m/s): 249.70, heading: 2.88, x: -274799.76, y: 671.68, z: 666591.18, pitch: 1.17, bank: -0.09, yaw: 164.87 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 671.67, speed(m/s): 249.62, heading: 2.88, x: -274803.96, y: 671.67, z: 666592.32, pitch: 1.15, bank: -0.10, yaw: 164.87 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 671.66, speed(m/s): 249.56, heading: 2.88, x: -274807.42, y: 671.66, z: 666593.26, pitch: 1.14, bank: -0.11, yaw: 164.88 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 671.65, speed(m/s): 249.56, heading: 2.88, x: -274811.37, y: 671.64, z: 666594.33, pitch: 1.12, bank: -0.12, yaw: 164.88 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 671.63, speed(m/s): 249.51, heading: 2.88, x: -274815.58, y: 671.63, z: 666595.47, pitch: 1.10, bank: -0.12, yaw: 164.88 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 671.62, speed(m/s): 249.43, heading: 2.88, x: -274819.03, y: 671.62, z: 666596.41, pitch: 1.09, bank: -0.13, yaw: 164.88 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 671.60, speed(m/s): 249.37, heading: 2.88, x: -274823.23, y: 671.60, z: 666597.55, pitch: 1.08, bank: -0.13, yaw: 164.89 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 671.59, speed(m/s): 249.31, heading: 2.88, x: -274827.18, y: 671.58, z: 666598.62, pitch: 1.07, bank: -0.14, yaw: 164.89 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 671.57, speed(m/s): 249.31, heading: 2.88, x: -274830.64, y: 671.57, z: 666599.56, pitch: 1.05, bank: -0.14, yaw: 164.89 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 671.55, speed(m/s): 249.23, heading: 2.88, x: -274834.59, y: 671.55, z: 666600.63, pitch: 1.04, bank: -0.14, yaw: 164.89 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 671.53, speed(m/s): 249.17, heading: 2.88, x: -274838.54, y: 671.52, z: 666601.70, pitch: 1.03, bank: -0.14, yaw: 164.89 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 671.50, speed(m/s): 249.11, heading: 2.88, x: -274842.24, y: 671.50, z: 666602.70, pitch: 1.02, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 671.49, speed(m/s): 249.11, heading: 2.88, x: -274845.94, y: 671.48, z: 666603.71, pitch: 1.01, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.42, MSLAlt: 671.46, speed(m/s): 249.03, heading: 2.88, x: -274850.13, y: 671.46, z: 666604.85, pitch: 1.00, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 671.44, speed(m/s): 248.98, heading: 2.88, x: -274853.83, y: 671.43, z: 666605.85, pitch: 0.99, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.45, MSLAlt: 671.41, speed(m/s): 248.92, heading: 2.88, x: -274857.53, y: 671.41, z: 666606.85, pitch: 0.97, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 671.38, speed(m/s): 248.84, heading: 2.88, x: -274861.48, y: 671.38, z: 666607.92, pitch: 0.96, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 671.36, speed(m/s): 248.84, heading: 2.88, x: -274865.17, y: 671.36, z: 666608.93, pitch: 0.95, bank: -0.15, yaw: 164.90 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 671.33, speed(m/s): 248.78, heading: 2.88, x: -274868.87, y: 671.33, z: 666609.93, pitch: 0.94, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 671.31, speed(m/s): 248.72, heading: 2.88, x: -274873.06, y: 671.30, z: 666611.06, pitch: 0.93, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 671.27, speed(m/s): 248.65, heading: 2.88, x: -274876.75, y: 671.27, z: 666612.07, pitch: 0.92, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.54, MSLAlt: 671.25, speed(m/s): 248.65, heading: 2.88, x: -274880.45, y: 671.24, z: 666613.07, pitch: 0.91, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.56, MSLAlt: 671.21, speed(m/s): 248.59, heading: 2.88, x: -274884.38, y: 671.21, z: 666614.14, pitch: 0.90, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 671.18, speed(m/s): 248.53, heading: 2.88, x: -274888.08, y: 671.18, z: 666615.14, pitch: 0.89, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.59, MSLAlt: 671.15, speed(m/s): 248.45, heading: 2.88, x: -274892.01, y: 671.14, z: 666616.21, pitch: 0.89, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.60, MSLAlt: 671.11, speed(m/s): 248.40, heading: 2.88, x: -274896.20, y: 671.10, z: 666617.34, pitch: 0.87, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.62, MSLAlt: 671.07, speed(m/s): 248.40, heading: 2.88, x: -274899.89, y: 671.07, z: 666618.34, pitch: 0.86, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.63, MSLAlt: 671.04, speed(m/s): 248.34, heading: 2.88, x: -274903.58, y: 671.03, z: 666619.34, pitch: 0.86, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.65, MSLAlt: 671.00, speed(m/s): 248.26, heading: 2.88, x: -274907.76, y: 670.99, z: 666620.48, pitch: 0.85, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.67, MSLAlt: 670.97, speed(m/s): 248.21, heading: 2.88, x: -274911.44, y: 670.96, z: 666621.48, pitch: 0.84, bank: -0.15, yaw: 164.91 Emitters.Mode: 0 
Player: t: 0.68, MSLAlt: 670.92, speed(m/s): 248.15, heading: 2.88, x: -274915.13, y: 670.92, z: 666622.48, pitch: 0.83, bank: -0.15, yaw: 164.92 Emitters.Mode: 0 
Player: t: 0.70, MSLAlt: 670.88, speed(m/s): 248.15, heading: 2.88, x: -274919.55, y: 670.87, z: 666623.68, pitch: 0.82, bank: -0.15, yaw: 164.92 Emitters.Mode: 0 
Player: t: 0.71, MSLAlt: 670.85, speed(m/s): 248.08, heading: 2.88, x: -274923.24, y: 670.83, z: 666624.68, pitch: 0.81, bank: -0.15, yaw: 164.92 Emitters.Mode: 0 
Player: t: 0.73, MSLAlt: 670.80, speed(m/s): 248.02, heading: 2.88, x: -274926.92, y: 670.79, z: 666625.68, pitch: 0.80, bank: -0.15, yaw: 164.92 Emitters.Mode: 0 
Player: t: 0.74, MSLAlt: 670.75, speed(m/s): 247.97, heading: 2.88, x: -274931.10, y: 670.75, z: 666626.81, pitch: 0.79, bank: -0.14, yaw: 164.92 Emitters.Mode: 0 
Player: t: 0.76, MSLAlt: 670.71, speed(m/s): 247.97, heading: 2.88, x: -274934.54, y: 670.71, z: 666627.74, pitch: 0.79, bank: -0.14, yaw: 164.92 Emitters.Mode: 0 
