Player: t: 0.00, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 9.42, x: -275240.56, y: 1827.03, z: 674531.63, pitch: 1.84, bank: -0.00, yaw: 540.04 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 3.14, x: -275243.39, y: 1827.03, z: 674531.62, pitch: 1.84, bank: 0.00, yaw: 180.01 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 3.14, x: -275248.53, y: 1827.03, z: 674531.62, pitch: 1.82, bank: 0.01, yaw: 180.01 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1827.03, speed(m/s): 234.32, heading: 3.14, x: -275255.72, y: 1827.03, z: 674531.62, pitch: 1.76, bank: 0.07, yaw: 180.00 Emitters.Mode: 0 
Player: t: 0.09, MSLAlt: 1827.03, speed(m/s): 237.44, heading: 3.14, x: -275264.19, y: 1827.03, z: 674531.62, pitch: 1.63, bank: 0.21, yaw: 179.96 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1827.03, speed(m/s): 237.38, heading: 3.14, x: -275267.79, y: 1827.03, z: 674531.61, pitch: 1.58, bank: 0.28, yaw: 179.94 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1827.03, speed(m/s): 237.34, heading: 3.14, x: -275271.89, y: 1827.03, z: 674531.61, pitch: 1.53, bank: 0.38, yaw: 179.90 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1827.03, speed(m/s): 237.34, heading: 3.14, x: -275276.25, y: 1827.03, z: 674531.61, pitch: 1.48, bank: 0.49, yaw: 179.86 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1827.02, speed(m/s): 237.30, heading: 3.14, x: -275279.85, y: 1827.02, z: 674531.60, pitch: 1.45, bank: 0.56, yaw: 179.84 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1827.02, speed(m/s): 237.24, heading: 3.14, x: -275283.69, y: 1827.02, z: 674531.60, pitch: 1.41, bank: 0.67, yaw: 179.80 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1827.01, speed(m/s): 237.19, heading: 3.14, x: -275287.80, y: 1827.01, z: 674531.60, pitch: 1.38, bank: 0.74, yaw: 179.77 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1827.00, speed(m/s): 237.19, heading: 3.14, x: -275291.64, y: 1827.00, z: 674531.59, pitch: 1.35, bank: 0.85, yaw: 179.73 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1827.00, speed(m/s): 237.15, heading: 3.14, x: -275295.49, y: 1827.00, z: 674531.59, pitch: 1.33, bank: 0.91, yaw: 179.70 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1826.99, speed(m/s): 237.08, heading: 3.14, x: -275299.59, y: 1826.99, z: 674531.58, pitch: 1.30, bank: 1.00, yaw: 179.66 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1826.98, speed(m/s): 237.04, heading: 3.13, x: -275303.69, y: 1826.98, z: 674531.58, pitch: 1.28, bank: 1.08, yaw: 179.62 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1826.97, speed(m/s): 236.99, heading: 3.13, x: -275307.79, y: 1826.97, z: 674531.57, pitch: 1.27, bank: 1.13, yaw: 179.59 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1826.95, speed(m/s): 236.99, heading: 3.13, x: -275312.14, y: 1826.95, z: 674531.57, pitch: 1.25, bank: 1.20, yaw: 179.56 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1826.94, speed(m/s): 236.93, heading: 3.13, x: -275316.24, y: 1826.94, z: 674531.57, pitch: 1.23, bank: 1.25, yaw: 179.53 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1826.93, speed(m/s): 236.88, heading: 3.13, x: -275319.82, y: 1826.93, z: 674531.56, pitch: 1.22, bank: 1.28, yaw: 179.51 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 1826.91, speed(m/s): 236.83, heading: 3.13, x: -275323.92, y: 1826.91, z: 674531.56, pitch: 1.20, bank: 1.33, yaw: 179.48 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1826.90, speed(m/s): 236.77, heading: 3.13, x: -275328.02, y: 1826.89, z: 674531.55, pitch: 1.19, bank: 1.35, yaw: 179.46 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1826.88, speed(m/s): 236.77, heading: 3.13, x: -275331.60, y: 1826.88, z: 674531.55, pitch: 1.17, bank: 1.38, yaw: 179.44 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 1826.87, speed(m/s): 236.72, heading: 3.13, x: -275335.69, y: 1826.86, z: 674531.55, pitch: 1.16, bank: 1.40, yaw: 179.43 Emitters.Mode: 0 
Player: t: 0.39, MSLAlt: 1826.84, speed(m/s): 236.67, heading: 3.13, x: -275339.79, y: 1826.84, z: 674531.54, pitch: 1.15, bank: 1.42, yaw: 179.40 Emitters.Mode: 0 
