Player: t: 0.00, MSLAlt: 689.13, speed(m/s): 247.92, heading: 3.41, x: -275733.88, y: 689.13, z: 687851.06, pitch: 1.64, bank: -0.00, yaw: 195.65 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 689.13, speed(m/s): 247.92, heading: 3.41, x: -275735.61, y: 689.13, z: 687850.58, pitch: 1.64, bank: -0.00, yaw: 195.65 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 689.13, speed(m/s): 247.92, heading: 3.41, x: -275740.80, y: 689.13, z: 687849.12, pitch: 1.64, bank: 0.00, yaw: 195.65 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 689.13, speed(m/s): 247.88, heading: 3.41, x: -275746.99, y: 689.13, z: 687847.39, pitch: 1.58, bank: 0.01, yaw: 195.64 Emitters.Mode: 0 
Player: t: 0.09, MSLAlt: 689.12, speed(m/s): 249.76, heading: 3.41, x: -275755.39, y: 689.12, z: 687845.04, pitch: 1.45, bank: 0.05, yaw: 195.63 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 689.12, speed(m/s): 249.69, heading: 3.41, x: -275758.61, y: 689.12, z: 687844.14, pitch: 1.41, bank: 0.06, yaw: 195.63 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 689.12, speed(m/s): 249.69, heading: 3.41, x: -275762.56, y: 689.12, z: 687843.03, pitch: 1.36, bank: 0.08, yaw: 195.62 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 689.11, speed(m/s): 249.63, heading: 3.41, x: -275766.51, y: 689.11, z: 687841.93, pitch: 1.31, bank: 0.11, yaw: 195.61 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 689.11, speed(m/s): 249.58, heading: 3.41, x: -275770.46, y: 689.11, z: 687840.82, pitch: 1.29, bank: 0.12, yaw: 195.61 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 689.10, speed(m/s): 249.50, heading: 3.41, x: -275774.17, y: 689.10, z: 687839.78, pitch: 1.25, bank: 0.15, yaw: 195.60 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 689.09, speed(m/s): 249.44, heading: 3.41, x: -275778.37, y: 689.09, z: 687838.61, pitch: 1.22, bank: 0.17, yaw: 195.59 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 689.09, speed(m/s): 249.44, heading: 3.41, x: -275782.07, y: 689.09, z: 687837.57, pitch: 1.20, bank: 0.18, yaw: 195.58 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 689.08, speed(m/s): 249.39, heading: 3.41, x: -275785.77, y: 689.08, z: 687836.53, pitch: 1.18, bank: 0.20, yaw: 195.57 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 689.07, speed(m/s): 249.31, heading: 3.41, x: -275789.47, y: 689.07, z: 687835.50, pitch: 1.16, bank: 0.22, yaw: 195.57 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 689.05, speed(m/s): 249.25, heading: 3.41, x: -275793.17, y: 689.05, z: 687834.46, pitch: 1.14, bank: 0.23, yaw: 195.56 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 689.04, speed(m/s): 249.25, heading: 3.41, x: -275796.87, y: 689.04, z: 687833.42, pitch: 1.13, bank: 0.24, yaw: 195.55 Emitters.Mode: 0 
