Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.85, x: -280667.03, y: 1338.23, z: 691242.56, pitch: 2.37, bank: -0.00, yaw: 220.77 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.85, x: -280669.88, y: 1338.23, z: 691240.11, pitch: 2.37, bank: -0.00, yaw: 220.77 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.85, x: -280673.06, y: 1338.23, z: 691237.37, pitch: 2.35, bank: 0.03, yaw: 220.76 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 206.70, heading: 3.85, x: -280688.10, y: 1338.23, z: 691224.38, pitch: 2.05, bank: 0.46, yaw: 220.64 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1338.22, speed(m/s): 206.63, heading: 3.85, x: -280696.12, y: 1338.22, z: 691217.46, pitch: 1.92, bank: 0.81, yaw: 220.51 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1338.22, speed(m/s): 206.60, heading: 3.85, x: -280698.46, y: 1338.22, z: 691215.44, pitch: 1.89, bank: 0.90, yaw: 220.48 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1338.21, speed(m/s): 206.57, heading: 3.85, x: -280701.46, y: 1338.21, z: 691212.84, pitch: 1.85, bank: 1.04, yaw: 220.42 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1338.21, speed(m/s): 206.53, heading: 3.85, x: -280703.96, y: 1338.21, z: 691210.68, pitch: 1.82, bank: 1.13, yaw: 220.39 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1338.20, speed(m/s): 206.53, heading: 3.85, x: -280706.63, y: 1338.20, z: 691208.37, pitch: 1.79, bank: 1.25, yaw: 220.34 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1338.19, speed(m/s): 206.50, heading: 3.84, x: -280709.47, y: 1338.19, z: 691205.92, pitch: 1.76, bank: 1.37, yaw: 220.28 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.19, speed(m/s): 206.47, heading: 3.84, x: -280711.64, y: 1338.18, z: 691204.05, pitch: 1.74, bank: 1.45, yaw: 220.25 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1338.18, speed(m/s): 206.43, heading: 3.84, x: -280713.97, y: 1338.18, z: 691202.03, pitch: 1.72, bank: 1.52, yaw: 220.22 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1338.17, speed(m/s): 206.43, heading: 3.84, x: -280716.97, y: 1338.16, z: 691199.44, pitch: 1.69, bank: 1.62, yaw: 220.17 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1338.15, speed(m/s): 206.40, heading: 3.84, x: -280719.30, y: 1338.15, z: 691197.42, pitch: 1.67, bank: 1.71, yaw: 220.12 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 1338.15, speed(m/s): 206.36, heading: 3.84, x: -280721.80, y: 1338.14, z: 691195.26, pitch: 1.65, bank: 1.76, yaw: 220.09 Emitters.Mode: 0 
